Country,Region 2015,Region 2016,Region 2017,Region 2018,Region 2019,Happiness Rank 2015,Happiness Rank 2016,Happiness Rank 2017,Happiness Rank 2018,Happiness Rank 2019,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017,Happiness Score 2018,Happiness Score 2019,Standard Error 2015,Standard Error 2016,Standard Error 2017,Standard Error 2018,Standard Error 2019,Economy (GDP per Capita) 2015,Economy (GDP per Capita) 2016,Economy (GDP per Capita) 2017,Economy (GDP per Capita) 2018,Economy (GDP per Capita) 2019,Family 2015,Family 2016,Family 2017,Family 2018,Family 2019,Health (Life Expectancy) 2015,Health (Life Expectancy) 2016,Health (Life Expectancy) 2017,Health (Life Expectancy) 2018,Health (Life Expectancy) 2019,Freedom 2015,Freedom 2016,Freedom 2017,Freedom 2018,Freedom 2019,Trust (Government Corruption) 2015,Trust (Government Corruption) 2016,Trust (Government Corruption) 2017,Trust (Government Corruption) 2018,Trust (Government Corruption) 2019,Generosity 2015,Generosity 2016,Generosity 2017,Generosity 2018,Generosity 2019,Dystopia Residual 2015,Dystopia Residual 2016,Dystopia Residual 2017,Dystopia Residual 2018,Dystopia Residual 2019,Lower Confidence Interval 2015,Lower Confidence Interval 2016,Lower Confidence Interval 2017,Lower Confidence Interval 2018,Lower Confidence Interval 2019,Upper Confidence Interval 2015,Upper Confidence Interval 2016,Upper Confidence Interval 2017,Upper Confidence Interval 2018,Upper Confidence Interval 2019,Happiness.Rank 2015,Happiness.Rank 2016,Happiness.Rank 2017,Happiness.Rank 2018,Happiness.Rank 2019,Happiness.Score 2015,Happiness.Score 2016,Happiness.Score 2017,Happiness.Score 2018,Happiness.Score 2019,Whisker.high 2015,Whisker.high 2016,Whisker.high 2017,Whisker.high 2018,Whisker.high 2019,Whisker.low 2015,Whisker.low 2016,Whisker.low 2017,Whisker.low 2018,Whisker.low 2019,Economy..GDP.per.Capita. 2015,Economy..GDP.per.Capita. 2016,Economy..GDP.per.Capita. 2017,Economy..GDP.per.Capita. 2018,Economy..GDP.per.Capita. 2019,Health..Life.Expectancy. 2015,Health..Life.Expectancy. 2016,Health..Life.Expectancy. 2017,Health..Life.Expectancy. 2018,Health..Life.Expectancy. 2019,Trust..Government.Corruption. 2015,Trust..Government.Corruption. 2016,Trust..Government.Corruption. 2017,Trust..Government.Corruption. 2018,Trust..Government.Corruption. 2019,Dystopia.Residual 2015,Dystopia.Residual 2016,Dystopia.Residual 2017,Dystopia.Residual 2018,Dystopia.Residual 2019,Overall rank 2015,Overall rank 2016,Overall rank 2017,Overall rank 2018,Overall rank 2019,Score 2015,Score 2016,Score 2017,Score 2018,Score 2019,GDP per capita 2015,GDP per capita 2016,GDP per capita 2017,GDP per capita 2018,GDP per capita 2019,Social support 2015,Social support 2016,Social support 2017,Social support 2018,Social support 2019,Healthy life expectancy 2015,Healthy life expectancy 2016,Healthy life expectancy 2017,Healthy life expectancy 2018,Healthy life expectancy 2019,Freedom to make life choices 2015,Freedom to make life choices 2016,Freedom to make life choices 2017,Freedom to make life choices 2018,Freedom to make life choices 2019,Perceptions of corruption 2015,Perceptions of corruption 2016,Perceptions of corruption 2017,Perceptions of corruption 2018,Perceptions of corruption 2019
Bahrain,Middle East and Northern Africa,Middle East and Northern Africa,,,,49.0,42.0,,,,5.96,6.218,,,,0.05412,,,,,1.32376,1.44024,,,,1.21624,0.94397,1.32311046123505,,,0.74716,0.65696,,,,0.45492,0.47375,0.536746919155121,,,0.306,0.25772,,,,0.17362,0.17147,0.172668486833572,0.243,0.255,1.73797,2.27405,,,,,6.128,,,,,6.308,,,,,,41.0,,,,,6.08699989318848,,,,,6.17898906782269,,,,,5.99501071855426,,,,,1.48841226100922,,,,,0.653133034706116,,,,,0.257042169570923,,,,,1.65614938735962,,,,,,43.0,37.0,,,,6.105,6.199,,,,1.338,1.362,,,,1.366,1.368,,,,0.698,0.871,,,,0.594,0.536,,,,0.123,0.11
Bangladesh,Southern Asia,Southern Asia,,,,109.0,110.0,,,,4.694,4.643,,,,0.03077,,,,,0.39753,0.54177,,,,0.43106,0.24749,0.735131740570068,,,0.60164,0.52989,,,,0.4082,0.39778,0.478356659412384,,,0.12569,0.12583,,,,0.21222,0.19132,0.172255352139473,0.153,0.166,2.51767,2.60904,,,,,4.56,,,,,4.726,,,,,,110.0,,,,,4.60799980163574,,,,,4.68982165828347,,,,,4.52617794498801,,,,,0.586682975292206,,,,,0.533241033554077,,,,,0.123717859387398,,,,,1.97873616218567,,,,,,115.0,125.0,,,,4.5,4.456,,,,0.532,0.562,,,,0.85,0.928,,,,0.579,0.723,,,,0.58,0.527,,,,0.144,0.143
Belarus,Central and Eastern Europe,Central and Eastern Europe,,,,59.0,61.0,,,,5.813,5.802,,,,0.03938,,,,,1.03192,1.13062,,,,1.23289,1.04993,1.44494521617889,,,0.73608,0.63104,,,,0.37938,0.29091,0.295400261878967,,,0.1909,0.17457,,,,0.11046,0.13942,0.15513750910759,0.101,0.094,2.1309,2.38582,,,,,5.723,,,,,5.881,,,,,,67.0,,,,,5.56899976730347,,,,,5.64611424401402,,,,,5.49188529059291,,,,,1.15655755996704,,,,,0.637714266777039,,,,,0.156313821673393,,,,,1.72323298454285,,,,,,73.0,81.0,,,,5.483,5.323,,,,1.039,1.067,,,,1.498,1.465,,,,0.7,0.789,,,,0.307,0.235,,,,0.154,0.142
Belgium,Western Europe,Western Europe,,,,19.0,18.0,,,,6.937,6.929,,,,0.03595,,,,,1.30782,1.42539,,,,1.28566,1.05249,1.46231269836426,,,0.89667,0.81959,,,,0.5845,0.51354,0.539770722389221,,,0.2254,0.26248,,,,0.2225,0.2424,0.231503337621689,0.188,0.16,2.41484,2.61355,,,,,6.861,,,,,6.997,,,,,,17.0,,,,,6.89099979400635,,,,,6.95582075044513,,,,,6.82617883756757,,,,,1.46378076076508,,,,,0.818091869354248,,,,,0.251343131065369,,,,,2.12421035766602,,,,,,16.0,18.0,,,,6.927,6.923,,,,1.324,1.356,,,,1.483,1.504,,,,0.894,0.986,,,,0.583,0.473,,,,0.24,0.21
Belize,,Latin America and Caribbean,,,,,52.0,,,,,5.956,,,,,,,,,,0.87616,,,,,0.68655,1.08141779899597,,,,0.45569,,,,,0.51231,0.547509372234344,,,,0.10771,,,,,0.23684,0.240015640854836,0.183,,,3.08039,,,,,5.71,,,,,6.202,,,,,,50.0,,,,,5.95599985122681,,,,,6.19724231779575,,,,,5.71475738465786,,,,,0.907975316047668,,,,,0.450191766023636,,,,,0.0965810716152191,,,,,2.63195562362671,,,,,,49.0,,,,,5.956,,,,,0.807,,,,,1.101,,,,,0.474,,,,,0.593,,,,,0.089,
Benin,Sub-Saharan Africa,Sub-Saharan Africa,,,,155.0,153.0,,,,3.34,3.484,,,,0.03656,,,,,0.28665,0.39499,,,,0.35386,0.10419,0.435299843549728,,,0.3191,0.21028,,,,0.4845,0.39747,0.425962775945663,,,0.0801,0.06681,,,,0.1826,0.2018,0.207948461174965,0.163,0.175,1.63328,2.10812,,,,,3.404,,,,,3.564,,,,,,143.0,,,,,3.65700006484985,,,,,3.74578355133533,,,,,3.56821657836437,,,,,0.431085407733917,,,,,0.209930211305618,,,,,0.0609290152788162,,,,,1.88563096523285,,,,,,136.0,102.0,,,,4.141,4.883,,,,0.378,0.393,,,,0.372,0.437,,,,0.24,0.397,,,,0.44,0.349,,,,0.067,0.082
Bhutan,Southern Asia,Southern Asia,,,,79.0,84.0,,,,5.253,5.196,,,,0.03225,,,,,0.77042,0.8527,,,,1.10395,0.90836,1.34012651443481,,,0.57407,0.49759,,,,0.53206,0.46074,0.501537680625916,,,0.15445,0.1616,,,,0.47998,0.48546,0.474054545164108,0.364,0.37,1.63794,1.82916,,,,,5.138,,,,,5.254,,,,,,97.0,,,,,5.01100015640259,,,,,5.07933456212282,,,,,4.94266575068235,,,,,0.885416388511658,,,,,0.495879292488098,,,,,0.173380389809608,,,,,1.14018440246582,,,,,,97.0,95.0,,,,5.082,5.082,,,,0.796,0.813,,,,1.335,1.321,,,,0.527,0.604,,,,0.541,0.457,,,,0.171,0.167
Bolivia,Latin America and Caribbean,Latin America and Caribbean,,,,51.0,59.0,,,,5.89,5.822,,,,0.05642,,,,,0.68133,0.79422,,,,0.97841,0.83779,1.22761905193329,,,0.5392,0.4697,,,,0.57414,0.50961,0.558732926845551,,,0.088,0.07746,,,,0.20536,0.21698,0.22556072473526,0.141,0.137,2.82334,2.91635,,,,,5.74,,,,,5.904,,,,,,58.0,,,,,5.82299995422363,,,,,5.9039769025147,,,,,5.74202300593257,,,,,0.833756566047668,,,,,0.473630249500275,,,,,0.0604777261614799,,,,,2.44327902793884,,,,,,62.0,61.0,,,,5.752,5.779,,,,0.751,0.776,,,,1.223,1.209,,,,0.508,0.706,,,,0.606,0.511,,,,0.054,0.064
Bosnia and Herzegovina,Central and Eastern Europe,Central and Eastern Europe,,,,96.0,87.0,,,,4.949,5.163,,,,0.06913,,,,,0.83223,0.93383,,,,0.91916,0.64367,1.0693359375,,,0.79081,0.70766,,,,0.09245,0.09511,0.204403176903725,,,0.00227,0.0,,,,0.24808,0.29889,0.328867495059967,0.216,0.263,2.06367,2.48406,,,,,5.063,,,,,5.263,,,,,,90.0,,,,,5.18200016021729,,,,,5.27633568674326,,,,,5.08766463369131,,,,,0.982409417629242,,,,,0.705186307430267,,,,,0.0,,,,,1.89217257499695,,,,,,93.0,78.0,,,,5.129,5.386,,,,0.915,0.945,,,,1.078,1.212,,,,0.758,0.845,,,,0.28,0.212,,,,0.0,0.006
Botswana,Sub-Saharan Africa,Sub-Saharan Africa,,,,128.0,137.0,,,,4.332,3.974,,,,0.04934,,,,,0.99355,1.09426,,,,1.10464,0.89186,1.22155499458313,,,0.04776,0.34752,,,,0.49495,0.44089,0.505196332931519,,,0.12474,0.10769,,,,0.10461,0.12425,0.0993484482169151,0.042,0.025,1.46181,0.96741,,,,,3.875,,,,,4.073,,,,,,142.0,,,,,3.76600003242493,,,,,3.87412266626954,,,,,3.65787739858031,,,,,1.12209415435791,,,,,0.341755509376526,,,,,0.0985831990838051,,,,,0.3779137134552,,,,,,146.0,148.0,,,,3.59,3.488,,,,1.017,1.041,,,,1.174,1.145,,,,0.417,0.538,,,,0.557,0.455,,,,0.092,0.1
Brazil,Latin America and Caribbean,Latin America and Caribbean,,,,16.0,17.0,,,,6.983,6.952,,,,0.04076,,,,,0.98124,1.08754,,,,1.23287,1.03938,1.43130600452423,,,0.69702,0.61415,,,,0.49049,0.40425,0.437453746795654,,,0.17521,0.14166,,,,0.14574,0.15776,0.16234989464283,0.11,0.099,3.26001,3.50733,,,,,6.875,,,,,7.029,,,,,,22.0,,,,,6.63500022888184,,,,,6.72546950161457,,,,,6.5445309561491,,,,,1.10735321044922,,,,,0.616552352905273,,,,,0.111092761158943,,,,,2.76926708221436,,,,,,28.0,32.0,,,,6.419,6.3,,,,0.986,1.004,,,,1.474,1.439,,,,0.675,0.802,,,,0.493,0.39,,,,0.088,0.086
Bulgaria,Central and Eastern Europe,Central and Eastern Europe,,,,134.0,129.0,,,,4.218,4.217,,,,0.04828,,,,,1.01216,1.11306,,,,1.10614,0.92542,1.43437945842743,,,0.76649,0.67806,,,,0.30587,0.21219,0.289231717586517,,,0.00872,0.00615,,,,0.11921,0.12793,0.113177694380283,0.064,0.081,0.89991,1.15377,,,,,4.104,,,,,4.33,,,,,,105.0,,,,,4.71400022506714,,,,,4.80369470641017,,,,,4.62430574372411,,,,,1.1614590883255,,,,,0.708217680454254,,,,,0.0110515309497714,,,,,0.996139287948608,,,,,,100.0,97.0,,,,4.933,5.011,,,,1.054,1.092,,,,1.515,1.513,,,,0.712,0.815,,,,0.359,0.311,,,,0.009,0.004
Burkina Faso,Sub-Saharan Africa,Sub-Saharan Africa,,,,152.0,145.0,,,,3.587,3.739,,,,0.04324,,,,,0.25812,0.31995,,,,0.85188,0.63054,1.04328000545502,,,0.27125,0.21297,,,,0.39493,0.3337,0.324367851018906,,,0.12832,0.12533,,,,0.21747,0.24353,0.250864684581757,0.175,0.177,1.46494,1.87319,,,,,3.647,,,,,3.831,,,,,,134.0,,,,,4.03200006484985,,,,,4.12405906438828,,,,,3.93994106531143,,,,,0.3502277135849,,,,,0.215844258666039,,,,,0.120328105986118,,,,,1.72721290588379,,,,,,121.0,115.0,,,,4.424,4.587,,,,0.314,0.331,,,,1.097,1.056,,,,0.254,0.38,,,,0.312,0.255,,,,0.128,0.113
Burundi,Sub-Saharan Africa,Sub-Saharan Africa,,,,157.0,157.0,,,,2.905,2.905,,,,0.08658,,,,,0.0153,0.06831,,,,0.41587,0.23442,0.629793584346771,,,0.22396,0.15747,,,,0.1185,0.0432,0.0599007532000542,,,0.10062,0.09419,,,,0.19727,0.2029,0.204435184597969,0.149,0.176,1.83302,2.10404,,,,,2.732,,,,,3.078,,,,,,154.0,,,,,2.90499997138977,,,,,3.07469033300877,,,,,2.73530960977077,,,,,0.091622568666935,,,,,0.151610791683197,,,,,0.0841479450464249,,,,,1.68302416801453,,,,,,156.0,145.0,,,,2.905,3.775,,,,0.091,0.046,,,,0.627,0.447,,,,0.145,0.38,,,,0.065,0.22,,,,0.076,0.18
Cambodia,Southeastern Asia,Southeastern Asia,,,,145.0,140.0,,,,3.819,3.907,,,,0.05069,,,,,0.46038,0.55604,,,,0.62736,0.5375,1.00623834133148,,,0.61114,0.42494,,,,0.66246,0.58852,0.633375823497772,,,0.07247,0.08092,,,,0.40359,0.40339,0.385922968387604,0.256,0.232,0.98195,1.31573,,,,,3.798,,,,,4.016,,,,,,129.0,,,,,4.16800022125244,,,,,4.27851781353354,,,,,4.05748262897134,,,,,0.601765096187592,,,,,0.429783403873444,,,,,0.0681059509515762,,,,,1.04294109344482,,,,,,120.0,109.0,,,,4.433,4.7,,,,0.549,0.574,,,,1.088,1.122,,,,0.457,0.637,,,,0.696,0.609,,,,0.065,0.062
Cameroon,Sub-Saharan Africa,Sub-Saharan Africa,,,,133.0,114.0,,,,4.252,4.513,,,,0.04678,,,,,0.4225,0.52497,,,,0.88767,0.62542,0.946018218994141,,,0.23402,0.12698,,,,0.49309,0.42736,0.430388748645782,,,0.05786,0.06126,,,,0.20618,0.2268,0.236298456788063,0.183,0.187,1.95071,2.5198,,,,,4.417,,,,,4.609,,,,,,107.0,,,,,4.69500017166138,,,,,4.79654085725546,,,,,4.5934594860673,,,,,0.564305365085602,,,,,0.132892116904259,,,,,0.0513066314160824,,,,,2.3336455821991,,,,,,99.0,96.0,,,,4.975,5.044,,,,0.535,0.549,,,,0.891,0.91,,,,0.182,0.331,,,,0.454,0.381,,,,0.043,0.037
Canadá,North America,North America,,,,5.0,6.0,,,,7.427,7.404,,,,0.03553,,,,,1.32629,1.44015,,,,1.32261,1.0961,1.48134899139404,,,0.90563,0.8276,,,,0.63297,0.5737,0.611100912094116,,,0.32957,0.31329,,,,0.45811,0.44834,0.435539722442627,0.321,0.285,2.45176,2.70485,,,,,7.335,,,,,7.473,,,,,,7.0,,,,,7.31599998474121,,,,,7.38440283536911,,,,,7.24759713411331,,,,,1.47920441627502,,,,,0.83455765247345,,,,,0.287371516227722,,,,,2.18726444244385,,,,,,7.0,9.0,,,,7.328,7.278,,,,1.33,1.365,,,,1.532,1.505,,,,0.896,1.039,,,,0.653,0.584,,,,0.291,0.308
Central African Republic,Sub-Saharan Africa,,,,,148.0,,,,,3.678,,,,,0.06112,,,,,0.0785,,,,,0.0,,0.0,,,0.06699,,,,,0.48879,,0.270842045545578,,,0.08289,,,,,0.23835,,0.280876487493515,0.218,0.235,2.7223,,,,,,,,,,,,,,,,,155.0,,,,,2.69300007820129,,,,,2.86488426923752,,,,,2.52111588716507,,,,,0.0,,,,,0.0187726859003305,,,,,0.0565650761127472,,,,,2.06600475311279,,,,,,155.0,155.0,,,,3.083,3.083,,,,0.024,0.026,,,,0.0,0.0,,,,0.01,0.105,,,,0.305,0.225,,,,0.038,0.035
Chad,Sub-Saharan Africa,Sub-Saharan Africa,,,,149.0,144.0,,,,3.667,3.763,,,,0.0383,,,,,0.34193,0.42214,,,,0.76062,0.63178,0.953855872154236,,,0.1501,0.03824,,,,0.23501,0.12807,0.16234202682972,,,0.05269,0.04952,,,,0.18386,0.18667,0.216113850474358,0.181,0.198,1.94296,2.30637,,,,,3.672,,,,,3.854,,,,,,137.0,,,,,3.93600010871887,,,,,4.0347115239501,,,,,3.83728869348764,,,,,0.438012987375259,,,,,0.0411347150802612,,,,,0.0535818822681904,,,,,2.07123804092407,,,,,,131.0,132.0,,,,4.301,4.35,,,,0.358,0.35,,,,0.907,0.766,,,,0.053,0.192,,,,0.189,0.174,,,,0.06,0.078
Chile,Latin America and Caribbean,Latin America and Caribbean,,,,27.0,24.0,,,,6.67,6.705,,,,0.058,,,,,1.10715,1.2167,,,,1.12447,0.90587,1.28402495384216,,,0.85857,0.81883,,,,0.44132,0.37789,0.376895278692245,,,0.12869,0.11451,,,,0.33363,0.31595,0.326662421226501,0.197,0.187,2.67585,2.95505,,,,,6.615,,,,,6.795,,,,,,20.0,,,,,6.65199995040894,,,,,6.73925056010485,,,,,6.56474934071302,,,,,1.25278460979462,,,,,0.819479703903198,,,,,0.0822879821062088,,,,,2.50958585739136,,,,,,25.0,26.0,,,,6.476,6.444,,,,1.131,1.159,,,,1.331,1.369,,,,0.808,0.92,,,,0.431,0.357,,,,0.061,0.056
